name,suffix,debut_tour,date_added,debut_game,debut_system,is_reverse,is_trick
London Loop 2,,Baby Rosalina Tour,2020-03-11,Mario Kart Tour,Mobile,FALSE,FALSE
London Loop 2,R,Baby Rosalina Tour,2020-03-11,Mario Kart Tour,Mobile,TRUE,FALSE
London Loop 2,T,Baby Rosalina Tour,2020-03-11,Mario Kart Tour,Mobile,FALSE,TRUE
London Loop 2,R/T,Baby Rosalina Tour,2020-03-11,Mario Kart Tour,Mobile,TRUE,TRUE
GBA Bowser's Castle 2,,Hammer Bro Tour,2020-03-25,Mario Kart: Super Circuit,GBA,FALSE,FALSE
GBA Bowser's Castle 2,R,Hammer Bro Tour,2020-03-25,Mario Kart: Super Circuit,GBA,TRUE,FALSE
GBA Bowser's Castle 2,T,Hammer Bro Tour,2020-03-25,Mario Kart: Super Circuit,GBA,FALSE,TRUE
SNES Donut Plains 1,,Hammer Bro Tour,2020-03-25,Super Mario Kart,SNES,FALSE,FALSE
SNES Donut Plains 1,R,Hammer Bro Tour,2020-03-25,Super Mario Kart,SNES,TRUE,FALSE
SNES Donut Plains 1,T,Hammer Bro Tour,2020-03-25,Super Mario Kart,SNES,FALSE,TRUE
RMX Mario Circuit 1,R/T,Yoshi Tour (2020),2020-04-08,Mario Kart Tour,Mobile,TRUE,TRUE
SNES Donut Plains 1,R/T,Yoshi Tour (2020),2020-04-08,Super Mario Kart,SNES,TRUE,TRUE
GBA Bowser's Castle 2,R/T,Trick Tour (2020),2020-04-22,Mario Kart: Super Circuit,GBA,TRUE,TRUE
SNES Vanilla Lake 1,R/T,Trick Tour (2020),2020-04-22,Super Mario Kart,SNES,TRUE,TRUE
RMX Choco Island 1,,Flower Tour,2020-05-06,Mario Kart Tour,Mobile,FALSE,FALSE
RMX Choco Island 1,R,Flower Tour,2020-05-06,Mario Kart Tour,Mobile,TRUE,FALSE
RMX Choco Island 1,T,Flower Tour,2020-05-06,Mario Kart Tour,Mobile,FALSE,TRUE
SNES Choco Island 1,,Cooking Tour,2020-06-03,Super Mario Kart,SNES,FALSE,FALSE
SNES Choco Island 1,R,Cooking Tour,2020-06-03,Super Mario Kart,SNES,TRUE,FALSE
SNES Choco Island 1,T,Cooking Tour,2020-06-03,Super Mario Kart,SNES,FALSE,TRUE
N64 Royal Raceway,,Peach Tour,2020-06-17,Mario Kart 64,N64,FALSE,FALSE
N64 Royal Raceway,R,Peach Tour,2020-06-17,Mario Kart 64,N64,TRUE,FALSE
N64 Royal Raceway,T,Peach Tour,2020-06-17,Mario Kart 64,N64,FALSE,TRUE
SNES Koopa Troopa Beach 2,,Marine Tour,2020-07-01,Super Mario Kart,SNES,FALSE,FALSE
SNES Koopa Troopa Beach 2,R,Marine Tour,2020-07-01,Super Mario Kart,SNES,TRUE,FALSE
SNES Koopa Troopa Beach 2,T,Marine Tour,2020-07-01,Super Mario Kart,SNES,FALSE,TRUE
N64 Choco Mountain,,Exploration Tour,2020-07-15,Mario Kart 64,N64,FALSE,FALSE
N64 Choco Mountain,R,Exploration Tour,2020-07-15,Mario Kart 64,N64,TRUE,FALSE
N64 Choco Mountain,T,Exploration Tour,2020-07-15,Mario Kart 64,N64,FALSE,TRUE
N64 Kalimari Desert 2,,Wild West Tour,2020-07-29,Mario Kart 64,N64,FALSE,FALSE
N64 Kalimari Desert 2,R,Wild West Tour,2020-07-29,Mario Kart 64,N64,TRUE,FALSE
N64 Kalimari Desert 2,T,Wild West Tour,2020-07-29,Mario Kart 64,N64,FALSE,TRUE
DS Airship Fortress,,Pirate Tour,2020-08-12,Mario Kart DS,DS,FALSE,FALSE
DS Airship Fortress,R,Pirate Tour,2020-08-12,Mario Kart DS,DS,TRUE,FALSE
DS Airship Fortress,T,Pirate Tour,2020-08-12,Mario Kart DS,DS,FALSE,TRUE
Tokyo Blur 3,,Summer Festival Tour,2020-08-26,Mario Kart Tour,Mobile,FALSE,FALSE
Tokyo Blur 3,R,Summer Festival Tour,2020-08-26,Mario Kart Tour,Mobile,TRUE,FALSE
Tokyo Blur 3,T,Summer Festival Tour,2020-08-26,Mario Kart Tour,Mobile,FALSE,TRUE
RMX Rainbow Road 1,,Super Mario Kart Tour,2020-09-09,Mario Kart Tour,Mobile,FALSE,FALSE
RMX Rainbow Road 1,R,Super Mario Kart Tour,2020-09-09,Mario Kart Tour,Mobile,TRUE,FALSE
RMX Rainbow Road 1,T,Super Mario Kart Tour,2020-09-09,Mario Kart Tour,Mobile,FALSE,TRUE
Los Angeles Laps,,Los Angeles Tour,2020-09-23,Mario Kart Tour,Mobile,FALSE,FALSE
Los Angeles Laps,R,Los Angeles Tour,2020-09-23,Mario Kart Tour,Mobile,TRUE,FALSE
Los Angeles Laps,T,Los Angeles Tour,2020-09-23,Mario Kart Tour,Mobile,FALSE,TRUE
